ITTER107,2012,2013,2014,2015,2016,2017,2018,2019
ITC1,4357663,4374052,4436798,4424467,4404246,4392526,4375865,4356406
ITC2,126620,127844,128591,128298,127329,126883,126202,125666
ITC3,1567339,1565127,1591939,1583263,1571053,1565307,1556981,1550640
ITC4,9700881,9794525,9973397,10002615,10008349,10019166,10036258,10060574
ITD1,504708,509626,515714,518518,520891,524256,527750,531178
ITD2,524877,530308,536237,537416,538223,538604,539898,541098
ITD3,4853657,4881756,4926818,4927596,4915123,4907529,4905037,4905854
ITD4,1217780,1221860,1229363,1227122,1221218,1217872,1215538,1215220
ITD5,4341240,4377487,4446354,4450508,4448146,4448841,4452629,4459477
ITE1,3667780,3692828,3750511,3752654,3744398,3742437,3736968,3729641
ITE2,883215,886239,896742,894762,891181,888908,884640,882015
ITE3,1540688,1545155,1553138,1550796,1543752,1538055,1531753,1525271
ITE4,5500022,5557276,5870451,5892425,5888472,5898124,5896693,5879082
ITF1,1306416,1312507,1333939,1331574,1326513,1322247,1315196,1311580
ITF2,313145,313341,314725,313348,312027,310449,308493,305617
ITF3,5764424,5769750,5869965,5861529,5850850,5839084,5826860,5801692
ITF4,4050072,4050803,4090266,4090105,4077166,4063888,4048242,4029053
ITF5,577562,576194,578391,576619,573694,570365,567118,562869
ITF6,1958418,1958238,1980533,1976631,1970521,1965128,1956687,1947131
ITG1,4999854,4999932,5094937,5092080,5074261,5056641,5026989,4999891
ITG2,1637846,1640379,1663859,1663286,1658138,1653135,1648176,1639591
